,Date,Close,High,Low,Open,Volume
396,2023-08-02,190.9209899902344,193.4985827896997,190.1972829299724,193.3597894476311,50389300
397,2023-08-03,189.52313232421875,190.71279169853844,189.04727159995883,189.91969553388512,61235200
398,2023-08-04,180.42221069335935,185.7657766923876,180.3528064633521,183.92179948550063,115799700
399,2023-08-07,177.3092803955078,181.5524085909385,175.82220233279125,180.5610232157941,97576100
400,2023-08-08,178.25108337402344,178.71703568412062,176.05020675575068,178.14203038384454,67823000
401,2023-08-09,176.65496826171875,179.37135459798415,175.48512561412892,179.3118738938821,60378500
402,2023-08-10,176.43685913085938,179.1929093058464,176.07005137717866,177.93384562444598,54686900
403,2023-08-11,176.49639892578125,177.32036168980022,175.26543082107975,176.02983256684112,51988100
404,2023-08-14,178.15426635742188,178.38258864969947,176.01990054114177,176.6751020557822,43675600
405,2023-08-15,176.1588897705078,178.17411849604412,175.7618061867858,177.5784931204611,43622600
406,2023-08-16,175.28529357910156,177.24094603057796,175.2157956243564,175.84121662599503,46964900
407,2023-08-17,172.73397827148438,176.2184341041098,172.21775754332143,175.85113106656488,66062900
408,2023-08-18,173.22044372558594,173.8260060676773,170.70885281849434,171.04637539663875,61114200
409,2023-08-21,174.56060791015625,174.8485063914746,172.47589631953025,173.79622123414413,46311900
410,2023-08-22,175.94049072265625,176.38721354501158,174.9676253309852,175.77172944077836,42084200
411,2023-08-23,179.80218505859375,180.2290643006026,177.032491470534,177.2211114741355,52722800
412,2023-08-24,175.0966796875,179.78233860000068,174.72936147404116,179.355459364837,54945800
413,2023-08-25,177.31045532226562,177.84651968096887,174.54076169805765,176.08940889849805,51449600
414,2023-08-28,178.87896728515625,179.27605088665493,177.25090028258217,178.77968881089737,43820700
415,2023-08-29,182.7803649902344,183.55468861261488,178.19398428109324,178.3925260808221,53003900
416,2023-08-30,186.2846527099609,186.48320962835405,183.39583737964136,183.59437915026837,60813900
417,2023-08-31,186.5030517578125,187.7439567493299,186.1158900063697,186.47327124983735,60794500
418,2023-09-01,188.0815277099609,188.53817234491697,186.91010531378717,188.1113082232073,45732600
419,2023-09-05,188.3197479248047,188.5977094450193,186.24495831042893,186.91008160149724,45280000
420,2023-09-06,181.57916259765625,187.47594597496703,180.14963751857883,187.02920802693,81755800
421,2023-09-07,176.26808166503906,176.91336139268128,172.27732670257566,173.90539355501954,112488800
422,2023-09-08,176.88357543945312,178.9285998393183,176.4964136407334,177.05235186894313,65551300
423,2023-09-11,178.05496215820312,178.98812506277298,176.04965560675075,178.7598028034947,58953100
424,2023-09-12,175.0172576904297,178.81939272059032,173.5480302988034,178.18404991763566,90370200
425,2023-09-13,172.94247436523438,176.00998823848755,172.7141369128852,175.22572770658326,84267900
426,2023-09-14,174.4613494873047,174.8187307911344,172.31706166432645,172.73400399416633,60895800
427,2023-09-15,173.73660278320312,175.2157668346055,172.5552740765424,175.19590811540314,109205100
428,2023-09-18,176.67510986328125,178.07485448429676,174.8882034479176,175.1959454962754,67257600
429,2023-09-19,177.76708984375,178.32301284726324,175.84120290460362,176.2283646497479,51826900
430,2023-09-20,174.21315002441406,178.3925098170354,174.1237933470795,177.95570880879336,58436200
431,2023-09-21,172.66448974609375,175.01725608596104,172.59500693822503,173.27998896827123,63047900
432,2023-09-22,173.5182342529297,175.79158086544706,172.7836281326413,173.39911221131908,56725400
433,2023-09-25,174.79884338378906,175.6823671360894,172.88287819083024,172.93251742028295,46172700
434,2023-09-26,170.70883178710938,173.92524796713502,170.41101154694528,173.54802313417602,64588900
435,2023-09-27,169.18995666503906,171.78096710415326,167.8200077433672,171.36402481079512,66921800
436,2023-09-28,169.4480743408203,170.77832096236608,166.40040416763804,168.1078907839796,56294400
437,2023-09-29,169.96429443359375,171.81076180692196,169.10061419351356,170.76839850543928,51814200
438,2023-10-02,172.4857940673828,173.03179529398386,169.6863051315917,169.9742035727841,52164500
439,2023-10-03,171.14561462402344,172.36667607241205,169.5771240058018,171.0066338674304,49594600
440,2023-10-04,172.39646911621094,172.94247039530038,169.7260388902924,169.8451609338146,53020300
441,2023-10-05,173.63735961914062,174.17342391765436,171.42357417816774,172.5254984313363,48527900
442,2023-10-06,176.19859313964844,176.69495515352654,171.91993985589522,172.53543905358532,57224100
443,2023-10-09,177.68768310546875,177.74724412480683,174.52089096334598,175.52353680032698,42390800
444,2023-10-10,177.09205627441406,178.4123811800482,176.65525523522464,176.8041729428218,43698000
445,2023-10-11,178.49179077148438,178.54143000452555,176.30780084757703,176.90342620076967,47551100
446,2023-10-12,179.39517211914062,181.0133020416141,177.73730960362397,178.75982932462722,56743100
447,2023-10-13,177.54872131347656,180.6062983831241,176.84388049788197,180.10001451689263,51427100
448,2023-10-16,177.41964721679688,177.7770284883398,175.22572035442593,175.46397958471027,52517000
449,2023-10-17,175.8610382080078,177.12180184096675,173.5281460602699,175.36467624281698,57549400
450,2023-10-18,174.56060791015625,176.2879533547619,173.8359235344459,174.3025050887744,54764400
451,2023-10-19,174.18336486816406,176.5460377577175,173.9153251388443,174.75913147519677,59302900
452,2023-10-20,171.6221466064453,174.14365914589465,171.38388737014972,174.03445888939677,64189300
453,2023-10-23,171.74127197265625,172.7439178760632,168.69360166729962,169.66648220683237,55980100
454,2023-10-24,172.17808532714844,172.40640764866407,170.20255874285166,171.79092350033105,43816600
455,2023-10-25,169.8551025390625,171.8008333263342,169.4083645680371,170.62942613878033,57157000
456,2023-10-26,165.6757049560547,170.13304109397222,164.46458048468762,169.13038017633548,70625300
457,2023-10-27,166.9960479736328,167.73066925493364,165.6161620916175,165.69558183671225,58499100
458,2023-10-30,169.05096435546875,169.92456632823416,167.6412980843576,167.79021577395145,51131000
459,2023-10-31,169.52749633789062,169.6565401685357,166.67836791176023,168.11782995408234,44846000
460,2023-11-01,172.7042236328125,172.96232646167283,168.88222955093784,169.75583166057058,56934900
461,2023-11-02,176.2779998779297,176.48646342563364,174.18335172794758,174.24291274157727,77334800
462,2023-11-03,175.3647003173828,175.53347673875106,172.08872301559984,172.97224682902157,79763700
463,2023-11-06,177.92593383789062,178.1244756256995,174.92791800211177,175.09667927913767,63841300
464,2023-11-07,180.49710083007807,181.1125849169399,177.66783112206795,177.87629469765844,70530000
465,2023-11-08,181.55931091308597,182.11523398810695,180.2687665473484,181.023246561535,49340300
466,2023-11-09,181.0828094482422,182.7803592021012,180.4871689201494,181.62881074103257,53763500
467,2023-11-10,185.28753662109372,185.45653538852343,182.4346699752206,182.87204642986097,66133400
468,2023-11-13,183.6970977783203,184.9197527658604,183.1106225987718,184.71101456121173,43627500
469,2023-11-14,186.3213348388672,186.9873343669909,185.1881391216873,186.5797776628828,60108400
470,2023-11-15,186.887939453125,188.36905250310775,186.65931635404164,186.72890587030213,53790500
471,2023-11-16,188.5778045654297,189.82034448090351,187.52411797622008,188.4386407016056,54412900
472,2023-11-17,188.5579071044922,189.24379151892643,187.44459626814825,189.11456252266416,50922700
473,2023-11-20,190.30740356445312,190.76466491067268,188.7467813740569,188.75671623264228,46505100
474,2023-11-21,189.5022430419922,190.37699597796984,188.60762038854105,190.26765186097265,38134500
475,2023-11-22,190.1682586669922,191.7785856463244,189.69112755602796,190.3471923134316,39617700
476,2023-11-24,188.83624267578125,189.76068506922263,188.1205384889839,189.73086532541635,24048300
477,2023-11-27,188.6573028564453,189.532055759996,187.77261509452617,188.7865318538488,40552600
478,2023-11-28,189.2636566162109,189.93960615586684,188.2696247743869,188.64736172795116,38415400
479,2023-11-29,188.2398223876953,190.9435904601538,187.8422156813964,189.76069003248776,43014200
480,2023-11-30,188.8163604736328,189.1841625986753,187.06686975200407,188.70701635554832,48794400
481,2023-12-01,190.0986785888672,190.41676093068807,188.1006646303825,189.19410585978827,45679300
